country;country_code;capital;accession_date;population;euro_zone_member;immigration;emigration;contribution_to_eu_budget_millions_euro;expenditure_eu_budget_millions_euro
Austria;AT;Vienna;1995-01-01;8858775;TRUE;111801;66144;3277,09735;1952,627788
Belgium;BE;Brussels;1957-03-25;11455519;TRUE;126703;89690;3839,758857;8513,575724
Bulgaria;BG;Sofia;2007-01-01;7000039;FALSE;25597;31586;487,0919477;2168,57991
Cyprus;CY;Nicosia;2004-05-01;875899;TRUE;21306;15105;180,2888903;263,8683639
Czechia;CZ;Prague;2004-05-01;10649800;FALSE;51847;27316;1720,125653;4123,183653
Germany;DE;Berlin;1957-03-25;83019213;TRUE;917109;560700;25266,7;12053,94154
Denmark;DK;Copenhaguen;1973-01-01;5806081;FALSE;68579;56403;2541,231086;1411,196408
Estonia;EE;Tallinn;2004-05-01;1324820;TRUE;17616;12358;210,1697656;759,4153293
Greece;EL;Athens;1981-01-01;10724599;TRUE;112247;103327;1487,695262;4870,119593
Spain;ES;Madrid;1986-01-01;46937060;TRUE;532132;368860;10313,86321;12270,40339
Finland;FI;Helsinki;1995-01-01;5517919;TRUE;31797;16973;2018,347388;1477,728942
France;FR;Paris;1957-03-25;67012883;TRUE;369964;312554;20573,54917;14778,25397
United Kingdom;GB;London;1973-01-01;66647112;FALSE;644209;359665;13461,88689;6633,149657
Croatia;HR;Zagreb;2013-07-01;4076246;FALSE;15553;47352;450,7773999;1120,285398
Hungary;HU;Budapest;2004-05-01;9772756;FALSE;68070;39829;1075,827315;6298,131456
Ireland;IE;Dublin;1973-01-01;4904240;TRUE;78499;64068;2320,165012;2063,693373
Italy;IT;Rome;1957-03-25;60359546;TRUE;343440;155110;15215,08782;10336,96745
Lithuania;LT;Vilnius;2004-05-01;2794184;TRUE;20368;47925;355,7787753;2070,648218
Luxembourg;LU;Luxembourg City;1957-03-25;613894;TRUE;24379;13831;356,9114084;2008,330409
Latvia;LV;Riga;2004-05-01;1919968;TRUE;9916;17724;234,031998;1211,796292
Malta;MT;Valletta;2004-05-01;493559;TRUE;21676;7020;102,5578465;155,9613964
Netherlands;NL;Amsterdam;1957-03-25;17282163;TRUE;189646;108231;4844,709102;2470,372148
Poland;PL;Warsaw;2004-05-01;37972812;FALSE;209353;218492;3983,166016;16349,93479
Portugal;PT;Lisbon;1986-01-01;10276617;TRUE;36639;31753;1699,368003;5010,759804
Romania;RO;Bucharest;2007-01-01;19414458;FALSE;177435;242193;1654,712829;4865,063934
Sweden;SE;Stockholm;1995-01-01;10230185;FALSE;144489;45620;3303,487551;1814,183134
Slovenia;SI;Ljubljana;2004-05-01;2080908;TRUE;18808;17555;385,7092543;926,8326463
Slovakia;SK;Bratislava;2004-05-01;5450421;TRUE;7188;3466;763,6372888;2457,23160
