country;country_code;capital;accession_date;population;euro_zone_member;immigration;emigration;contribution_to_eu_budget_millions_euro;expenditure_eu_budget_millions_euro
Austria;AT;Vienna;1995-01-01;8822267;TRUE;111801;66144;1869;1743
Belgium;BE;Brussels;1957-03-25;11398589;TRUE;126703;89690;2172;7358
Bulgaria;BG;Sofia;2007-01-01;7050034;FALSE;25597;31586;276;1896
Croatia;HR;Zagreb;2013-07-01;4105493;FALSE;15553;47352;257;663
Cyprus;CY;Nicosia;2004-05-01;864236;TRUE;21306;15105;98;207
Czechia;CZ;Prague;2004-05-01;10610055;FALSE;51847;27316;963;3895
Denmark;DK;Copenhaguen;1973-01-01;5781190;FALSE;68579;56403;1577;1459
Estonia;EE;Tallinn;2004-05-01;1319133;TRUE;17616;12358;107;648
Finland;FI;Helsinki;1995-01-01;5513130;TRUE;31797;16973;1181;1501
France;FR;Paris;1957-03-25;66926166;TRUE;369964;312554;11726;13505
Germany;DE;Berlin;1957-03-25;82792351;TRUE;917109;560700;17130;10927
Greece;EL;Athens;1981-01-01;10741165;TRUE;112247;103327;5130;5130
Hungary;HU;Budapest;2004-05-01;9778371;FALSE;68070;39829;603;4049
Ireland;IE;Dublin;1973-01-01;4830392;TRUE;78499;64068;1386;1818
Italy;IT;Rome;1957-03-25;60483973;TRUE;343440;155110;8823;9795
Latvia;LV;Riga;2004-05-01;1934379;TRUE;9916;17724;134;737
Lithuania;LT;Vilnius;2004-05-01;2808901;TRUE;20368;47925;198;1575
Luxembourg;LU;Luxembourg City;1957-03-25;602005;TRUE;24379;13831;220;1827
Malta;MT;Valletta;2004-05-01;475701;TRUE;21676;7020;59;201
Netherlands;NL;Amsterdam;1957-03-25;17181084;TRUE;189646;108231;3586;2417
Poland;PL;Warsaw;2004-05-01;37976687;FALSE;209353;218492;2220;11921
Portugal;PT;Lisbon;1986-01-01;10291027;TRUE;36639;31753;954;3976
Romania;RO;Bucharest;2007-01-01;19530631;FALSE;177435;242193;926;4742
Slovakia;SK;Bratislava;2004-05-01;5443120;TRUE;7188;3466;455;1645
Slovenia;SI;Ljubljana;2004-05-01;2066880;TRUE;18808;17555;211;476
Spain;ES;Madrid;1986-01-01;46658447;TRUE;532132;368860;5756;9664
Sweden;SE;Stockholm;1995-01-01;10120242;FALSE;144489;45620;2448;1504
United Kingdom;GB;London;1973-01-01;66273576;FALSE;644209;359665;12368;6326
